state,total_violent_crime,household_income
IL,163,40760
OK,212,44206
OR,14505,42931
IL,2908,56067
OR,11515,46885
OR,2336,52808
ID,2382,43534
KS,31,48674
MN,948,46912
MD,967,61597
ID,483,43649
GA,958,34888
UT,126,48540
WA,2259,46597
TN,122,33547
MT,5,39313
VT,1148,50234
KS,19,53021
VA,1027,50835
IA,367,46376
TN,1251,51074
PA,5105,46044
TX,506,41297
IN,4012,61231
MN,1001,46004
KS,38,47500
OR,5064,50209
TX,1066,50067
MT,295,33333
PA,3564,39115
IL,616,46809
MD,613,45206
WA,802,43926
GA,291,43205
TX,444,34914
IN,5563,40692
KS,135,38634
OK,2460,36812
IA,1207,41425
IL,175,47405
KS,507,56875
TX,2520,61194
MI,39,39038
KS,35,53018
KS,1924,56454
MI,1407,46217
IL,999,54614
MS,1971,38074
OR,1576,39627
IL,6539,53633
KS,193,48187
PA,2873,41730
WA,795,43175
IA,284,50349
TX,941,50097
PA,1645,41208
IL,72,45734
TN,224,40689
WV,68,31679
KY,774,41473
PA,2927,44301
GA,613,39140
MI,481,37626
VA,165,34319
GA,140,32928
WV,471,42156
WA,5005,60485
KS,45,46607
MI,693,40478
WI,447,39564
TX,5,39479
GA,20997,60445
ID,171,41056
HI,5818,51250
VA,1267,44200
WI,14258,61721
MO,324,40580
KS,63,42610
VA,538,33872
TX,641,37391
MI,586,32668
TX,251,42829
OK,1384,43026
UT,40,50000
GA,2080,39963
VA,1188,38048
MO,213,35793
OR,3,37974
GA,386,34985
KS,140,47466
ID,4447,42105
WI,1768,45418
IL,338,44070
TX,67,37743
WI,635,48538
PA,2841,54818
KS,225,41713
IN,213,44764
MO,761,34733
MT,135,39966
MT,75,40802
MI,1560,36372
KY,521,39546
TX,156,37667
TX,1142,41191
KS,1023,38981
MT,316,50405
MA,28795,82090
WV,162,39206
WA,909,40368
WA,8231,62229
WA,12674,58225
IL,114,43958
ME,347,36646
MO,327,36311
GA,37,27353
WA,795,46320
MT,264,43524
VA,1228,44312
TX,198,31109
OK,193,39430
MI,649,36236
VA,2605,78345
TX,783,44858
WA,6522,51939
VA,486,52027
GA,386,36070
NH,2034,58654
MO,1047,43458
TX,155,21865
KY,1161,41940
MN,3884,54551
ID,9076,55210
WA,2208,42860
MI,24840,65594
UT,7760,54974
IL,299,47365
MI,1768,47766
TX,1232,37855
SD,111,45284
SD,114,47191
OK,227,29897
WV,229,28513
KS,13,39375
OK,256,44151
PA,2627,45012
TN,526,56618
IL,53,42194
VA,179,52885
MI,822,41856
OK,779,42668
OK,273,36281
KS,111,45865
TN,354,42846
MN,1109,43928
TX,974,42939
MS,8224,43124
KS,173,45233
KS,109,51793
MO,4827,54845
IA,77,43181
TX,3805,58651
NH,3456,58825
MT,701,38688
PA,862,44388
MI,2162,52061
WA,23138,68381
GA,2049,47087
ID,164,32175
MO,544,35897
VA,140,35237
WI,4701,54930
MN,173,48026
TX,128,38650
KY,620,36384
KY,4597,54270
KY,4111,44135
MO,725,37965
KS,759,58936
KS,253,38917
OK,90,51422
IA,6324,57260
IA,398,47967
WA,2419,42405
PA,4063,53693
KS,34,48800
NV,67,35017
IA,245,61216
FL,280,38406
MI,490,47584
VA,182,39635
PA,6343,60097
WA,5151,55925
GA,472,32258
TX,548,53265
KY,1363,45853
OK,1077,37260
TX,3286,61958
TX,638,44355
WV,191,31848
VA,117,40557
SC,575,43861
GA,627,30240
IA,180,45205
GA,682,51383
MO,484,45992
WI,508,45297
MN,314,69301
TX,115,44548
KS,24,43357
MI,584,33334
MA,453,66288
MS,638,29400
ID,47,53586
GA,385,35423
MI,760,41759
MN,253,47447
VT,1243,56240
MD,7077,109865
WI,819,59226
VA,727,39328
SD,615,51398
TX,206,44478
WI,3711,51010
MN,313,41108
ID,6,41131
IN,2984,53961
TX,193,32908
NE,1331,48158
TX,56,50417
TX,342,39714
MO,2385,60350
WI,444,39904
WY,2521,57791
OK,1058,39156
MO,2783,48857
MT,9,31867
SD,100,51791
TX,91,36857
IA,151,45997
GA,718,40670
NV,623,49830
ID,2603,50872
MT,2421,52833
KY,3362,54306
TX,1128,43439
TX,149,49487
IA,213,43826
OR,2151,37940
TX,7,31215
ID,280,37050
MI,1431,40451
NH,1201,50866
MA,10941,84916
UT,1267,57292
TX,1399,49819
MD,19559,98221
NM,576,32637
VA,799,36261
GA,6403,60781
PA,110,41410
IA,130,48977
KS,78,43292
NE,1110,49440
TX,437,49277
TX,439,43690
MD,3051,84790
IL,1524,47667
UT,606,46229
MI,619,38016
IL,269,41848
PA,2755,45430
SD,93,41826
IL,129,51504
MI,593,41739
GA,955,35329
TX,139,40655
KS,35,43059
TN,112,29727
GA,445,47729
OK,1339,58525
WY,277,68078
IL,702,49590
TX,77,43424
NE,641,47654
MO,822,44596
MO,250,32130
VA,8503,61048
TN,440,32292
NJ,13263,84526
VA,582,38501
VT,2328,49271
IA,235,43481
OK,731,36588
TX,59,26756
MS,371,37050
TX,315,36020
GA,61,25465
KY,1078,37312
IL,682,45130
IA,261,45542
TX,289,31373
MO,414,40120
MO,534,43013
MO,632,34702
OK,208,44842
MI,1291,51766
IN,1356,50859
MI,2177,54115
TX,420,43657
IA,117,44663
TX,82,51766
UT,281,49238
WI,775,45759
WA,172,42519
MO,1527,52838
GA,2465,35840
WI,302,55659
GA,4671,50853
VA,952,36218
IL,388,44722
IL,449,53954
MN,1015,50149
TX,422,41444
PA,16433,79183
IN,322,51444
MI,5633,56453
KY,291,37127
OK,178,46686
TX,921,48115
RI,2226,71713
PA,625,44183
VA,157,33015
KS,127,38313
WV,163,41234
WI,3366,51339
TX,10125,67766
UT,48,46660
IA,153,48601
KS,221,39968
WI,2656,52920
MT,8,38036
VA,1000,34659
TX,71,42607
TN,1614,31842
IL,232,42078
KY,3380,46555
MO,855,52835
MN,3378,66252
TX,380,44149
UT,3070,49279
MO,755,37203
IN,2893,54165
ME,3840,46808
VA,1336,35693
IA,86,44073
SD,38,54620
IL,12676,76147
MT,84,42632
VA,12653,65219
UT,594,57683
MS,2808,36726
TN,512,32364
MI,253,33239
IN,102,38826
TX,665,55326
NJ,15271,79596
TX,58,33445
PA,11233,56483
MI,911,43039
TX,427,42862
KY,1691,40379
GA,2920,60813
MO,59,44426
VA,272,33635
VA,325,36607
MN,486,49594
PA,789,57375
VA,3287,85706
MO,138,46002
MI,1523,45622
KY,3161,42312
GA,556,34830
WI,845,42389
KY,1867,49024
WY,1095,50418
MO,664,35507
GA,535,33228
OK,454,49901
IL,8879,69530
GA,656,64707
GA,628,36786
IN,1051,46797
