total_violent_crime,household_income,"County,State"
13,44551,"Ringgold,IA"
77,48093,"Sac,IA"
5638,52735,"Scott,IA"
5,48783,"Shelby,IA"
205,57227,"Sioux,IA"
2180,50516,"Story,IA"
191,51670,"Tama,IA"
20,43804,"Taylor,IA"
169,44838,"Union,IA"
77,43181,"Van Buren,IA"
1207,41425,"Wapello,IA"
802,62535,"Warren,IA"
253,54554,"Washington,IA"
17,40024,"Wayne,IA"
1509,41624,"Webster,IA"
55,45603,"Winnebago,IA"
106,53122,"Winneshiek,IA"
4093,45856,"Woodbury,IA"
123,50476,"Worth,IA"
180,45205,"Wright,IA"
9076,55210,"Ada,ID"
17,35434,"Adams,ID"
2382,43534,"Bannock,ID"
102,44964,"Bear Lake,ID"
104,39049,"Benewah,ID"
827,47941,"Bingham,ID"
271,64042,"Blaine,ID"
171,41056,"Boise,ID"
1006,41414,"Bonner,ID"
2603,50872,"Bonneville,ID"
158,37003,"Boundary,ID"
6,41131,"Butte,ID"
10,41154,"Camas,ID"
4447,42105,"Canyon,ID"
47,53586,"Caribou,ID"
389,42039,"Cassia,ID"
8,33200,"Clark,ID"
171,40134,"Clearwater,ID"
31,39541,"Custer,ID"
387,42842,"Elmore,ID"
118,44962,"Franklin,ID"
128,44520,"Fremont,ID"
145,44432,"Gem,ID"
280,37050,"Gooding,ID"
159,37349,"Idaho,ID"
183,52023,"Jefferson,ID"
416,40126,"Jerome,ID"
5005,49002,"Kootenai,ID"
903,41735,"Latah,ID"
61,34122,"Lemhi,ID"
34,36000,"Lewis,ID"
21,42433,"Lincoln,ID"
343,32059,"Madison,ID"
371,43266,"Minidoka,ID"
1467,46503,"Nez Perce,ID"
27,40842,"Oneida,ID"
164,32175,"Owyhee,ID"
483,43649,"Payette,ID"
115,44212,"Power,ID"
282,38440,"Shoshone,ID"
62,53931,"Teton,ID"
1818,43886,"Twin Falls,ID"
236,50473,"Valley,ID"
54,37453,"Washington,ID"
1781,45073,"Adams,IL"
407,26972,"Alexander,IL"
236,48163,"Bond,IL"
93,60893,"Boone,IL"
53,42194,"Brown,IL"
572,48977,"Bureau,IL"
0,50436,"Calhoun,IL"
228,47985,"Carroll,IL"
72,45734,"Cass,IL"
6972,45808,"Champaign,IL"
395,45145,"Christian,IL"
175,47405,"Clark,IL"
247,40640,"Clay,IL"
460,61720,"Clinton,IL"
836,37040,"Coles,IL"
202273,54548,"Cook,IL"
297,46216,"Crawford,IL"
114,43958,"Cumberland,IL"
256,52741,"Douglas,IL"
313,42133,"Edgar,IL"
75,39075,"Edwards,IL"
656,52108,"Effingham,IL"
388,44722,"Fayette,IL"
233,48866,"Ford,IL"
960,36273,"Franklin,IL"
682,45130,"Fulton,IL"
0,40330,"Gallatin,IL"
174,43502,"Greene,IL"
1058,64541,"Grundy,IL"
44,38417,"Hamilton,IL"
239,43925,"Hancock,IL"
27,37071,"Hardin,IL"
212,49389,"Henderson,IL"
871,52940,"Henry,IL"
423,47079,"Iroquois,IL"
2611,33479,"Jackson,IL"
135,52233,"Jasper,IL"
1449,42981,"Jefferson,IL"
449,53954,"Jersey,IL"
240,50817,"Jo Daviess,IL"
163,40760,"Johnson,IL"
8879,69530,"Kane,IL"
3339,50102,"Kankakee,IL"
1857,81765,"Kendall,IL"
1555,40667,"Knox,IL"
13755,77469,"Lake,IL"
146,40145,"Lawrence,IL"
665,50060,"Lee,IL"
999,54614,"Livingston,IL"
641,47133,"Logan,IL"
3420,46559,"Macon,IL"
702,49590,"Macoupin,IL"
6539,53633,"Madison,IL"
1410,41010,"Marion,IL"
129,51504,"Marshall,IL"
248,42260,"Mason,IL"
403,43615,"Massac,IL"
82,58190,"Menard,IL"
249,53136,"Mercer,IL"
268,68482,"Monroe,IL"
608,41952,"Montgomery,IL"
616,46809,"Morgan,IL"
120,46622,"Moultrie,IL"
455,54541,"Ogle,IL"
7842,50712,"Peoria,IL"
232,42078,"Perry,IL"
179,63027,"Piatt,IL"
65,39845,"Pike,IL"
0,38371,"Pope,IL"
85,33717,"Pulaski,IL"
63,54196,"Putnam,IL"
289,47427,"Randolph,IL"
338,44070,"Richland,IL"
4457,48702,"Rock Island,IL"
585,37800,"Saline,IL"
10961,55449,"Sangamon,IL"
69,48138,"Schuyler,IL"
35,49669,"Scott,IL"
164,47188,"Shelby,IL"
10391,50578,"St. Clair,IL"
75,54203,"Stark,IL"
1183,43472,"Stephenson,IL"
2908,56067,"Tazewell,IL"
269,41848,"Union,IL"
3539,41400,"Vermilion,IL"
299,47365,"Wabash,IL"
682,43536,"Warren,IL"
140,52832,"Washington,IL"
342,43605,"Wayne,IL"
382,42914,"White,IL"
1524,47667,"Whiteside,IL"
12676,76147,"Will,IL"
1244,43125,"Williamson,IL"
13373,47072,"Winnebago,IL"
408,66639,"Woodford,IL"
139,46695,"Adams,IN"
12111,49370,"Allen,IN"
2893,54165,"Bartholomew,IN"
65,48711,"Benton,IN"
276,39225,"Blackford,IN"
792,67255,"Boone,IN"
89,51568,"Brown,IN"
341,50542,"Carroll,IN"
