county,state,total_violent_crime,household_income
Essex,MA,17270,67311
Atkinson,GA,248,30049
Henderson,TX,2392,40900
Wyoming,WV,511,34454
Hart,GA,986,35615
Campbell,TN,1816,31943
Douglas,KS,5054,49508
Mason,IL,248,42260
Kent,TX,16,46875
Sunflower,MS,935,26619
Cass,MN,1167,45045
Fayette,KY,15893,48398
Seminole,GA,218,30521
Brown,TX,1323,39776
Kay,OK,1720,41012
Taylor,TX,5029,44891
Musselshell,MT,109,43409
Spokane,WA,30050,49233
Mercer,WV,1836,34842
Rhea,TN,878,36741
Marshall,IA,1159,51555
Chesapeake City,VA,7247,69743
Morgan,TN,543,37631
Plymouth,MA,11196,75092
Boone,MO,6197,48627
Lancaster,NE,11911,51574
Allegany,MD,2826,39293
Caldwell,TX,931,44152
Pratt,KS,326,46035
Scurry,TX,452,47513
Glacier,MT,219,33519
Dixie,FL,496,33981
Oregon,MO,154,27743
Reynolds,MO,111,34496
Newton,GA,3229,50580
Lamar,TX,1929,40104
Cape Girardeau,MO,3626,46516
Walton,FL,1646,43640
Worcester,MD,2410,57952
Lincoln,OR,1537,42365
Yakima,WA,11255,43506
Washington,IA,253,54554
Atchison,KS,543,45212
Robertson,TX,396,40601
Rockdale,GA,3623,52579
Fannin,GA,585,34239
Henry,VA,1472,34984
Franklin,IL,960,36273
Floyd,GA,4125,40821
Orange,TX,2560,49507
Santa Fe,NM,5963,52917
Suwannee,FL,921,35698
Hillsborough,FL,35178,49596
Obion,TN,1202,39467
Floyd,TX,143,42279
Williamson,IL,1244,43125
Caldwell,MO,218,41169
Caroline,MD,1073,58632
Limestone,TX,760,38823
Elko,NV,1446,70238
Mitchell,TX,235,42045
Tillman,OK,212,36354
Lexington,SC,8600,54061
Providence,RI,20819,49297
Harrison,TX,1881,45675
Polk,FL,21348,43113
Dickson,TN,1571,44318
Swisher,TX,150,36753
Grant,NM,869,37899
Bristol City,VA,715,32221
Travis,TX,51600,58025
Blount,TN,3653,45991
Clinton,MO,527,53826
Union,NJ,13470,68507
Lynchburg City,VA,2385,38138
Torrance,NM,368,31161
San Patricio,TX,2172,50657
Ste. Genevieve,MO,293,48433
Anderson,TN,2640,43620
Hughes,SD,599,59338
Lauderdale,MS,3037,36203
Hansford,TX,107,49150
Hamilton,FL,387,37716
St. Joseph,IN,9994,44582
Thomas,GA,1953,34035
Tunica,MS,541,31446
Saline,IL,585,37800
Surry,VA,93,47292
Weakley,TN,896,35273
Laurens,GA,2109,34793
Cheatham,TN,1024,52446
Saline,KS,2726,47215
Pulaski,IL,85,33717
Lee,FL,17301,47439
Pulaski,GA,294,41550
Cleveland,OK,11190,54989
Marshall,TN,599,42291
King,WA,87570,71811
Grady,OK,1579,49637
Los Alamos,NM,270,106686
Franklin,KY,1955,46071
Bastrop,TX,2071,51750
Lanier,GA,244,39452
Tate,MS,594,41494
Labette,KS,701,40916
Lewis,TN,345,34397
Seward,KS,685,50185
Sevier,TN,4419,43649
Berkshire,MA,3318,48450
Clay,MS,483,30764
Hamilton,IA,318,43589
Houston,GA,6059,54893
Berks,PA,10734,55170
Russell,KS,164,37111
