county,state,total_violent_crime,household_income
Deuel,NE,27,44922
Gilliam,OR,18,44743
Armstrong,TX,29,61635
Leake,MS,60,32521
Lewis,ID,34,36000
Stewart,GA,23,23451
Gosper,NE,33,45893
Benton,IA,290,56669
Washington,KY,72,40845
York,NE,273,49633
Isanti,MN,610,57353
Pittsylvania,VA,680,42143
Vernon,WI,285,45488
Lincoln,KY,188,33651
Richardson,NE,50,38582
Knox,MO,43,34481
Dawson,GA,388,53525
Keokuk,IA,21,42167
Muhlenberg,KY,218,38105
Oldham,KY,691,83391
Carter,KY,210,36406
Warren,IN,5,52317
Bracken,KY,156,39196
Crawford,IN,128,39700
Carroll,IL,228,47985
Seward,NE,153,59435
Jefferson,OK,54,34701
Amherst,VA,557,44945
Greenup,KY,290,44060
Lake,MN,63,46939
Magoffin,KY,47,26877
Menominee,WI,61,33333
Marion,GA,80,33301
Llano,TX,418,44094
Perry,IN,191,47596
Cedar,NE,38,48038
Morgan,IN,1395,55354
Kingfisher,OK,181,54666
Platte,WY,93,45512
Stanton,KS,3,46382
Trimble,KY,21,49718
Putnam,IN,242,50821
Shelby,IL,164,47188
Highland,VA,6,49625
Jasper,IN,294,57500
Monroe,IL,268,68482
Shelby,IN,1164,51440
Kittson,MN,24,48875
Grant,OK,56,46625
Culberson,TX,8,37105
Ogle,IL,455,54541
Kewaunee,WI,271,53588
Steuben,IN,1030,48080
Lewis,KY,88,28388
Bath,VA,29,51365
Le Sueur,MN,310,58922
Hart,KY,71,33408
Spencer,IN,23,52991
Grand Isle,VT,79,59509
Miner,SD,9,48477
Henry,IN,1909,40679
Whitley,IN,215,51914
Hutchinson,SD,22,42451
Wabasha,MN,205,53057
Faulk,SD,3,41453
Wasatch,UT,230,65050
Lake,SD,97,48936
Floyd,KY,229,30476
Dickinson,IA,161,56136
Marion,KS,104,45830
Morrill,NE,58,43886
Wood,WI,1678,47685
Union,SD,116,63468
Washington,ID,54,37453
Crawford,IA,57,46548
Carlisle,KY,51,39049
Kiowa,KS,35,44650
Pleasants,WV,406,41859
Renville,MN,127,50802
Allen,KY,174,40008
Elliott,KY,18,24246
Posey,IN,441,58750
Kemper,MS,49,29003
Madison,IA,141,57581
Carroll,IA,138,48361
Cook,MN,175,52215
Dickinson,MI,77,44136
Clay,TX,87,53776
Buchanan,IA,140,55553
Jim Hogg,TX,8,36121
Lincoln,NV,73,40143
Letcher,KY,139,31200
Otoe,NE,271,50881
Pike,KY,621,32961
Monroe,KY,21,29808
Mitchell,IA,99,51078
Clay,IL,247,40640
Webster,GA,43,35718
Hunterdon,NJ,1151,106143
Wayne,UT,17,41458
Clay,IA,280,49035
Butler,NE,51,50247
Rockcastle,KY,162,30674
Dewey,SD,9,30710
Lafayette,WI,210,49107
Washington,KS,11,42515
Lyon,KY,91,40112
Ziebach,SD,9,32708
Franklin,IN,231,49516
Boone,IN,792,67255
Washington,NE,133,65409
Hancock,KY,34,51189
Putnam,IL,63,54196
Fleming,KY,101,32495
Stevens,KS,15,54494
Taylor,WI,230,44869
Jones,IA,137,55041
Edwards,KS,32,46551
Hamilton,IN,3096,82468
Humphreys,MS,14,23600
Saunders,NE,216,59870
Montgomery,GA,17,32702
Uinta,WY,389,58515
Appomattox,VA,138,50167
Vilas,WI,247,40833
Upshur,WV,400,39381
Franklin,NE,18,43011
Wayne,NE,27,52147
Marshall,MN,14,52198
Salem City,VA,590,48733
Howard,IA,99,46429
Schleicher,TX,16,50648
Humboldt,IA,88,47897
Brookings,SD,160,46896
Calhoun,IA,21,44484
Webster,KY,55,41415
Upton,TX,18,51750
Shackelford,TX,33,47277
Wallowa,OR,54,41994
Holt,NE,47,44427
Bond,IL,236,48163
Winneshiek,IA,106,53122
Switzerland,IN,9,44143
Richland,WI,83,45271
Pierce,NE,37,51924
Reagan,TX,20,61250
Estill,KY,104,29184
Wolfe,KY,44,22574
Webster,NE,35,41045
Mercer,MO,21,40272
Smith,KS,7,45556
Adams,ID,17,35434
Henry,KY,76,46016
Lafayette,MS,502,43328
Wells,IN,598,48136
Pike,IL,65,39845
Mason,TX,32,46865
Corson,SD,25,30880
Fountain,IN,51,45884
Brown,MN,259,48256
Custer,ID,31,39541
Randolph,IN,483,40904
Mineral,MT,6,33033
Oneida,ID,27,40842
Adams,IN,139,46695
Leelanau,MI,112,55018
Morgan,KY,38,30658
Jackson,KY,66,26156
Cuming,NE,26,47500
Greene,IA,29,45865
Union,MS,278,38373
Pipestone,MN,68,46019
Owsley,KY,31,19986
Oconto,WI,803,51615
Greene,MS,30,36888
Mills,TX,45,44213
Metcalfe,KY,78,31750
Clinton,KY,26,27100
Morgan,UT,48,80337
Owen,IN,12,43950
Knott,KY,60,33889
Owen,KY,101,41009
Leslie,KY,18,29293
Perry,MS,27,36124
Stanton,NE,66,51493
Cotton,OK,31,46317
Taylor,IA,20,43804
Menifee,KY,43,29108
Menard,IL,82,58190
Wayne,IA,17,40024
Buffalo,WI,35,47384
Bland,VA,70,42139
Breathitt,KY,59,24045
Lexington City,VA,91,36505
Presidio,TX,24,29634
Grant,OR,56,35051
Brown,IN,89,51568
Wabash,IN,149,45286
Decatur,IA,3,36326
Crawford,WI,194,42235
Knox,NE,32,42230
Richmond,VA,67,47083
Hickory,MO,138,29325
Hancock,IL,239,43925
Jefferson,IN,22,43795
Shelby,IA,5,48783
Bath,KY,23,30797
Boone,IL,93,60893
Newton,TX,67,37246
Baker,OR,77,41500
Jasper,MS,12,31170
Fayette,IN,9,37391
Haakon,SD,0,47198
Day,SD,0,39761
Grant,NE,0,44167
Sibley,MN,0,54017
Boyd,NE,0,41279
Robertson,KY,0,31786
Liberty,MT,0,44493
Quitman,MS,0,22863
Douglas,SD,0,49200
Thomas,NE,0,55089
Valley,NE,0,40445
Petroleum,MT,0,41705
Kingsbury,SD,0,51373
Hyde,SD,0,47813
Jones,SD,0,44808
Grant,SD,0,48896
Lyman,SD,0,47596
Sioux,NE,0,42014
Smith,MS,0,34753
Collingsworth,TX,0,41576
Gregory,SD,0,36719
Clarke,MS,0,31362
Norman,MN,0,45389
Buffalo,SD,0,30962
Calhoun,MS,0,30000
Harlan,NE,0,45920
Greeley,NE,0,44950
Benton,MS,0,31060
Treasure,MT,0,37105
Garfield,NE,0,41892
Mora,NM,0,28481
Loup,NE,0,38125
Kalawao,HI,0,59375
Garfield,UT,0,45357
Fremont,IA,0,50520
Alcorn,MS,0,33600
Harding,NM,0,34063
Frontier,NE,0,50227
Dundy,NE,0,47431
Arthur,NE,0,40568
Blaine,NE,0,42917
Colfax,NE,0,51765
Jewell,KS,0,39884
Carroll,MS,0,31039
Hayes,NE,0,49125
Keya Paha,NE,0,36923
Boone,NE,0,45246
Gallatin,IL,0,40330
Powder River,MT,0,46250
King,TX,0,65000
Wayne,MS,0,29925
Sharkey,MS,0,35125
Wilkinson,MS,0,33618
Glascock,GA,0,37760
Logan,NE,0,44417
Clay,NE,0,46784
Issaquena,MS,0,24767
Howard,NE,0,49088
Yalobusha,MS,0,32930
Hooker,NE,0,39327
Jenkins,GA,0,26104
Calhoun,IL,0,50436
Pope,IL,0,38371
Lincoln,KS,41,40811
Sanborn,SD,0,48384
Harper,OK,26,46117
Daggett,UT,26,46917
Motley,TX,26,35845
Piute,UT,26,38500
Fallon,MT,25,51164
Sherman,NE,24,41835
Pawnee,NE,24,37321
Chattahoochee,GA,24,48758
Coke,TX,23,40795
Aurora,SD,17,46667
Scott,IL,35,49669
Elk,KS,35,34089
Putnam,MO,35,36713
Granite,MT,52,45236
Hardeman,TX,113,36377
Toole,MT,100,46972
Noxubee,MS,96,24338
Merrick,NE,60,50859
Prentiss,MS,60,32503
Garza,TX,56,47540
Big Stone,MN,54,46313
Covington,MS,51,33381
Jefferson,NE,48,44843
Essex,VT,47,35916
Echols,GA,46,31375
Gentry,MO,46,39192
Hamilton,IL,44,38417
Polk,NE,42,52848
Brown,NE,39,33647
Butler,IA,16,52026
Clark,SD,12,49055
Crockett,TX,0,50475
Lipscomb,TX,12,57978
Red Lake,MN,2,47569
Wheeler,NE,2,38807
Bon Homme,SD,2,40980
Loving,TX,2,68750
Carter,MT,2,39659
Banner,NE,1,36875
Fillmore,NE,1,48464
Garfield,MT,1,45096
Sully,SD,1,54524
Edmunds,SD,1,49831
Garden,NE,1,39400
Thurston,NE,1,41400
Union,IN,1,44161
Todd,SD,0,31934
Kinney,TX,3,33257
Furnas,NE,3,39603
Wibaux,MT,3,41875
Osceola,IA,12,48659
Sherman,TX,12,48185
Perkins,SD,11,38362
Campbell,SD,9,35729
Clark,ID,8,33200
Briscoe,TX,3,36250
Box Butte,NE,5,46373
Cottle,TX,5,34639
Ohio,IN,4,50377
Newton,MS,5,39190
Jerauld,SD,5,46591
Cimarron,OK,3,38301
Lawrence,MS,0,38393
